#OTU ID	Cd11	Cd21	CG11	CG21	Cr11	Cr21	Cu11	Cu21	oh11	oh21	PAP11	PAP21	PNP11	PNP21	Seed
ASV_386	50	21	6	0	22	125	2	0	0	5	0	0	0	29	0
ASV_817	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_140	30	2	829	14	24	45	0	0	459	63	2	0	23	27	0
ASV_37	97	34	171	148	226	144	5158	914	63	52	33	44	69	55	149
ASV_70	37	0	38	3	1	0	0	0	405	61	0	2	181	8	2851
ASV_101	35	1	146	10	12	1	0	0	470	258	0	1	244	31	678
ASV_32	15	0	398	1037	23	4	0	0	1306	1904	58	15	658	1088	1338
ASV_98	51	1	151	86	12	13	0	0	407	1105	0	0	0	0	65
ASV_640	2	0	0	0	0	0	0	0	2	48	0	0	5	0	0
ASV_844	22	10	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_463	6	0	4	15	0	0	0	0	41	21	0	0	0	0	19
ASV_443	1	0	2	12	0	123	0	0	1	0	0	0	0	0	0
ASV_222	7	1	0	1	74	319	0	0	8	0	0	15	39	21	7
ASV_173	2	679	1	0	0	45	1	2	0	0	0	0	8	0	0
ASV_480	34	2	0	0	0	0	0	0	1	0	2	2	3	0	52
ASV_95	22	0	170	0	9	0	0	0	478	35	0	2	21	0	1098
ASV_28	6	8331	7	61	0	0	0	0	2	33	0	0	0	0	0
ASV_957	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_816	6	0	1	1	0	0	0	0	9	0	0	0	0	0	8
ASV_76	46	17	376	107	38	128	0	0	1311	410	2	0	0	1	305
ASV_255	10	0	32	34	1	0	0	0	103	46	0	0	9	0	129
ASV_356	6	0	2	0	0	0	0	0	180	0	0	0	0	0	0
ASV_405	1	149	0	0	0	0	0	0	1	0	0	0	0	0	4
ASV_286	34	8	1	3	32	149	0	0	0	3	0	0	52	3	3
ASV_311	8	0	5	0	0	0	0	0	6	0	0	0	1	0	198
ASV_413	3	35	0	97	0	0	0	0	0	0	0	0	4	1	0
ASV_912	3	16	0	0	1	0	0	0	1	0	0	0	0	0	0
ASV_117	14	0	0	0	175	565	0	0	3	10	97	552	30	37	0
ASV_93	8	0	766	304	58	2	0	0	379	55	2	0	15	105	1058
ASV_746	11	10	1	0	0	2	0	0	2	9	0	0	0	0	0
ASV_541	6	1	1	1	2	0	0	0	1	0	0	2	6	2	54
ASV_471	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	16	0	1	0	1	0	0	0	73	1	3	0	23	0	1293
ASV_407	9	0	1	0	73	0	0	0	60	2	0	0	3	4	1
ASV_503	15	1	19	9	1	2	0	0	19	16	0	0	3	0	7
ASV_1078	1	0	0	0	1	0	0	0	0	0	0	0	0	3	11
ASV_1066	8	0	0	0	0	0	0	0	5	1	0	0	0	0	0
ASV_822	2	0	5	0	0	0	0	0	2	0	1	0	1	0	17
ASV_53	2	0	135	0	0	0	0	0	971	68	3	1	3	0	3570
ASV_55	16	0	556	2146	0	15	0	0	851	845	0	2	17	33	41
ASV_360	3	0	0	0	0	0	0	0	0	0	1	9	1	0	161
ASV_436	8	0	15	12	0	0	0	0	28	27	0	0	3	0	38
ASV_622	3	0	2	24	0	2	0	0	4	21	0	5	0	0	2
ASV_300	12	1	41	17	2	21	0	0	65	21	0	0	2	1	55
ASV_536	2	1	2	2	0	2	44	13	1	5	0	0	0	5	3
ASV_1114	2	2	0	0	0	14	0	0	0	0	0	0	0	0	0
ASV_283	18	0	32	120	0	0	0	0	4	0	1	0	0	0	121
ASV_1	17	15	653	483	2485	15373	602	28	226	75	64717	36274	0	3	86
ASV_383	8	146	0	2	0	0	0	0	0	3	0	0	0	0	0
