category	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_2|g_midas_g_290|s_midas_s_911	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_2|g_midas_g_4307|s_midas_s_28416	    0	    0	    0	   0	    0	   9
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_641|g_midas_g_1268|s_midas_s_17379	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_Aquihabitans_daechungensis	    0	    0	    0	   0	    0	   1
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_midas_s_4523	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_midas_s_8564	    0	    0	    0	   0	    0	  31
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_CL500-29_marine_group	    0	    0	    0	   0	    0	   9
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_Ilumatobacter|s_midas_s_3354	    0	    0	    0	   3	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_Ilumatobacter|s_midas_s_52175	    0	    0	    0	   0	    0	   8
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_120|s_midas_s_7498	    0	    1	    0	   5	    0	   3
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_1877|s_midas_s_26066	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_1877|s_midas_s_45068	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_5461	    0	    0	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_5461|s_midas_s_26502	    0	   13	    0	   0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria	    0	    0	    0	   0	    0	   3
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium	    0	    0	    0	   0	    1	  97
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium	    0	    0	    1	   4	    0	  13
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_midas_s_6589	    2	    0	    0	   0	    1	   4
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_midas_s_55347	    0	    0	    0	   0	    0	   7
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales	    0	    0	    0	   0	    0	  21
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales|f_Nakamurellaceae|g_Nakamurella|s_midas_s_7218	    0	    0	    0	   0	    0	   4
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales|f_Sporichthyaceae|g_Longivirga|s_midas_s_1420	    0	    0	    0	   3	    0	   6
