category	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_2|g_midas_g_290|s_midas_s_911	    0	   0	    0	   11	    0	   7
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_2|g_midas_g_4307|s_midas_s_28416	    0	   0	    0	    0	    0	 111
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_641|g_midas_g_1268|s_midas_s_17379	    0	   0	    0	    2	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_Aquihabitans_daechungensis	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_midas_s_4523	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_midas_s_8564	    0	   5	    0	    2	    0	   1
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_CL500-29_marine_group	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_Ilumatobacter|s_midas_s_3354	    0	   0	    0	    3	    0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_Ilumatobacter|s_midas_s_52175	    0	   0	    0	    0	    0	   4
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_120|s_midas_s_7498	    0	   0	    0	   40	    0	   8
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_1877|s_midas_s_26066	    0	   0	    0	    0	    0	  10
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_1877|s_midas_s_45068	    0	   0	    0	    0	    0	   6
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_5461	    0	   7	    0	    0	    0	   2
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_5461|s_midas_s_26502	    0	   5	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria	    2	   0	    0	    1	    0	   1
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium	    0	   1	    2	    0	    0	   4
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_midas_s_6589	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_midas_s_55347	    0	   0	    0	    2	    0	   4
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales|f_Nakamurellaceae|g_Nakamurella|s_midas_s_7218	    0	   1	    0	    0	    0	  13
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales|f_Sporichthyaceae|g_Longivirga|s_midas_s_1420	    0	   0	    0	    3	    0	   7
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Kineosporiales|f_Kineosporiaceae	    0	   0	 1986	    3	    0	   2
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Actinotalea|s_midas_s_31096	    0	   4	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Dermatophilaceae|g_midas_g_739|s_midas_s_8771	    0	   0	    0	    0	    0	   8
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae	    0	  14	    0	    1	   18	   3
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia	    0	   5	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava	    0	   0	    0	    0	    0	   1
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava|s_midas_s_22998	    0	   0	    0	    0	    0	 398
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava|s_midas_s_84715	    0	   0	    0	    0	    0	   7
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Pseudonocardia|s_midas_s_35701	    0	   0	    0	    0	    0	 169
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_midas_o_5|f_midas_f_5|g_midas_g_957|s_midas_s_51625	    0	   0	    0	    0	    0	   2
k_Bacteria|p_Actinobacteriota|c_Coriobacteriia	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Actinobacteriota|c_Thermoleophilia|o_Gaiellales|f_midas_f_269|g_midas_g_7904|s_midas_s_36787	    0	   1	    0	    0	    0	   5
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae	    0	   0	    0	    0	    0	  12
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_13884	    0	   0	    0	  548	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_19225|s_midas_s_45938	    0	   0	    0	    5	    0	   1
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_1936|s_midas_s_4999	    0	   0	    0	    0	    0	  13
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_19477|s_midas_s_35379	    0	  16	    0	    0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_23693|s_midas_s_23693	    0	   0	    0	   62	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_2591	    0	   0	    0	   50	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_2591|s_midas_s_39374	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_26419|s_midas_s_26419	    0	   0	    0	    1	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_30374|s_midas_s_79801	    0	   0	    0	    0	    0	   5
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_32338|s_midas_s_39871	    0	   0	    0	    1	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_37483|s_midas_s_37483	    0	   0	    0	    0	    0	 101
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_4488|s_midas_s_4488	    0	   0	    0	    3	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_45752|s_midas_s_45752	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_45752|s_midas_s_55473	    0	   0	    0	    0	    0	   1
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_46816|s_midas_s_46816	    0	   1	    0	    0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_46820|s_midas_s_46820	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_5022	    0	   0	    0	  266	    0	  11
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_50541|s_midas_s_50541	    0	   0	    0	   37	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_57422|s_midas_s_64391	    0	   5	    0	    1	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_8938|s_midas_s_8938	    0	   0	    0	    1	    0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_midas_f_1936|g_midas_g_5385|s_midas_s_5385	    0	   0	    0	   68	    0	   0
k_Bacteria|p_Armatimonadota|c_midas_c_216|o_midas_o_9505|f_midas_f_9505|g_midas_g_9505|s_midas_s_9505	    0	   0	    0	    0	    0	  26
k_Bacteria|p_Bacteroidota|c_Bacteroidia	    0	   0	    0	    0	 7667	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Bacteroidetes_BD2-2|g_midas_g_9711|s_midas_s_9711	    0	   0	    0	   38	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella_9|s_Prevotella_copri	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella_9|s_midas_s_19231	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidetes_VC2.1_Bac22|f_midas_f_8637|g_midas_g_75972	  702	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidetes_VC2.1_Bac22|f_midas_f_8637|g_midas_g_8637|s_midas_s_8637	    0	   0	    0	    1	    0	   2
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13	    0	   0	    0	    2	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_11187|s_midas_s_22420	    0	   0	    0	  176	    0	   5
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_11689|s_midas_s_11926	    0	   0	    0	    4	    0	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_12471|s_midas_s_12471	    0	   0	    0	    1	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_13168|s_midas_s_32408	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_1851|s_midas_s_17459	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_26505|s_midas_s_26505	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_26505|s_midas_s_48116	    0	   0	    0	    2	  340	   5
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_45860	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_53517|s_midas_s_53517	    0	2251	    0	    0	    0	   5
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae	    0	   0	    0	    0	    0	   4
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Aurantisolimonas|s_midas_s_21921	    0	   0	    0	    1	    0	   4
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Aurantisolimonas|s_midas_s_4709	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Dinghuibacter|s_midas_s_35549	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum	    0	 206	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_13996	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_28423	    0	   0	    0	    7	    0	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_57929	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_59613	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter	    0	   0	    0	  267	    0	   7
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_10851	    0	   0	    0	  105	    0	 423
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_11	    0	   0	    0	    0	    0	 619
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_12340	    0	   0	    0	    0	    0	  11
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_1520	    0	   5	    0	    4	    0	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_18387	    0	   0	    0	    0	    0	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_20584	    0	2550	    0	   48	    0	 451
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_29117	    0	   1	    0	 2572	    0	  11
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_29663	    0	   0	    0	    0	    0	   2
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_31003	    0	   0	    0	    1	    0	   4
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_5352	    0	   0	    0	    2	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_64004	    0	   0	    0	    0	    0	   9
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Flavihumibacter|s_Flavihumibacter_cheonanensis	   10	   2	    0	    0	   31	  50
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Flavitalea|s_midas_s_61428	    0	  20	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Lacibacter|s_midas_s_26863	    0	   0	    0	    0	    0	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Niabella|s_midas_s_67161	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Sediminibacterium	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Sediminibacterium|s_Sediminibacterium_salmoneum	   12	   0	    0	    2	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas	    0	 292	    0	  490	  311	3711
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_12954	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_26468	    0	   0	    0	    0	    1	  92
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_38034	    0	   0	    0	  112	    0	   3
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_4563	    0	   0	    0	    1	    0	  14
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_78751	    0	  19	    0	    1	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_16865	    0	  57	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_23012	    0	  10	    0	    0	    0	  43
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_32850	    0	  11	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_50502	    0	  35	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_75466	    0	   4	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_1178|s_midas_s_1178	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_15446|s_midas_s_15446	    0	   0	    0	    0	    0	   2
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_679|s_midas_s_24080	    0	   0	    0	    2	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_9628	  221	   0	    0	    1	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Haliscomenobacter|s_midas_s_89821	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Phaeodactylibacter	    0	   0	    0	   48	    0	   5
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Phaeodactylibacter|s_midas_s_14188	    0	   0	    0	    2	    0	   3
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1226|s_midas_s_13139	    0	   0	    0	    0	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1409|s_midas_s_13530	    0	   0	    0	    2	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1409|s_midas_s_21140	    0	   0	    0	   80	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_22069|s_midas_s_22069	    0	   0	    0	  958	    0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_midas_f_108|g_midas_g_558|s_midas_s_10362	    0	   0	    0	    0	    0	   0
